id,document,metadata
1,"Web Development: Modern JavaScript frameworks, UI/UX design, and responsive layouts.","{""program_id"": 1, ""exam_id"": 1, ""name"": ""Web Development""}"
2,"Introduction to AI: Core concepts and applications; practical labs and projects.","{""program_id"": 2, ""exam_id"": 2, ""name"": ""Introduction to AI""}"
3,"Operating Systems: Processes, memory, scheduling, and concurrency basics.","{""program_id"": 3, ""exam_id"": 3, ""name"": ""Operating Systems""}"
4,"Cloud Computing: Virtualization, containerization, and distributed systems.","{""program_id"": 4, ""exam_id"": 4, ""name"": ""Cloud Computing""}"
5,"Database Systems: Relational modeling, SQL, indexing, and transactions.","{""program_id"": 5, ""exam_id"": 5, ""name"": ""Database Systems""}"
6,"Machine Learning: Supervised and unsupervised learning; model evaluation.","{""program_id"": 6, ""exam_id"": 6, ""name"": ""Machine Learning""}"
7,"Software Architecture: Components, styles, and scalability principles.","{""program_id"": 7, ""exam_id"": 7, ""name"": ""Software Architecture""}"
8,"Data Visualization: Interactive dashboards, storytelling with data, and visualization tools.","{""program_id"": 8, ""exam_id"": 8, ""name"": ""Data Visualization""}"
9,"Network Fundamentals: IP addressing, switching, routing, and network troubleshooting.","{""program_id"": 9, ""exam_id"": 9, ""name"": ""Network Fundamentals""}"
10,"Human-Computer Interaction: Interface evaluation, usability studies, and accessibility design.","{""program_id"": 10, ""exam_id"": 10, ""name"": ""Human-Computer Interaction""}"
