document,metadata
"Course materials not loading correctly during lectures; requested re-upload before next session.","{""course_id"": 13, ""timestamp"": ""2025-03-09T12:04:00Z""}"
"Multiple lectures lacked sufficient examples; requested additional reference code and real-world use cases.","{""course_id"": 11, ""timestamp"": ""2025-03-08T12:18:00Z""}"
"Lecture recordings not accessible after upload; requested faster content updates and reliable system synchronization.","{""course_id"": 15, ""timestamp"": ""2025-03-24T16:26:00Z""}"
"Cloud Computing labs caused multiple login failures; escalation needed to restore student access.","{""course_id"": 20, ""timestamp"": ""2025-02-08T00:14:00Z""}"
"Feedback delayed for more than two weeks despite follow-ups; requested process audit and instructor availability review.","{""course_id"": 16, ""timestamp"": ""2025-03-26T15:52:00Z""}"
"Lecture materials were disorganized; slides missing and references outdated reported for revision.","{""course_id"": 15, ""timestamp"": ""2025-03-10T23:36:00Z""}"
"Session scheduling conflicts caused missed attendance; requested calendar synchronization and faculty notice.","{""course_id"": 15, ""timestamp"": ""2025-02-01T04:40:00Z""}"
"Database Systems evaluation rubric unclear; requested clarification from academic board before grading completion.","{""course_id"": 16, ""timestamp"": ""2025-04-13T04:58:00Z""}"
"Assessment results published with missing entries; raised issue with registrar for verification.","{""course_id"": 16, ""timestamp"": ""2025-01-08T11:16:00Z""}"
"Machine Learning project submission portal repeatedly timed out; requested system maintenance for stability.","{""course_id"": 14, ""timestamp"": ""2025-03-25T20:56:00Z""}"
"Course evaluation survey not registering responses; issue escalated to IT for urgent review.","{""course_id"": 18, ""timestamp"": ""2025-03-30T09:32:00Z""}"
