id,document,metadata
1,"Object-oriented principles, inheritance hierarchies, and design patterns assessment.","{""course_id"": 1, ""name"": ""OOP Final Exam"", ""passing_score"": 7.2}"
2,"Exam on database indexing, query optimization, and stored procedures.","{""course_id"": 2, ""name"": ""Advanced Databases Exam"", ""passing_score"": 8.5}"
3,"Midterm on HTML, CSS, JavaScript fundamentals, and DOM manipulation.","{""course_id"": 3, ""name"": ""Frontend Midterm"", ""passing_score"": 7.0}"
4,"Assessment covering distributed systems, fault tolerance, and message passing models.","{""course_id"": 4, ""name"": ""Distributed Systems Exam"", ""passing_score"": 8.9}"
5,"Hands-on test on system configuration, shell scripting, and automation tools.","{""course_id"": 5, ""name"": ""DevOps Practical Exam"", ""passing_score"": 8.0}"
6,"Quiz covering supervised learning algorithms, overfitting control, and evaluation methods.","{""course_id"": 6, ""name"": ""Machine Learning Quiz 2"", ""passing_score"": 7.8}"
7,"Evaluation on data visualization design, storytelling with dashboards, and ethical data use.","{""course_id"": 7, ""name"": ""Data Visualization Exam"", ""passing_score"": 8.6}"
8,"Practical questions on networking layers, subnetting, and VPN setup.","{""course_id"": 8, ""name"": ""Network Fundamentals Test"", ""passing_score"": 7.4}"
9,"Exam testing concepts of penetration testing, encryption standards, and security audits.","{""course_id"": 9, ""name"": ""Ethical Hacking Exam"", ""passing_score"": 9.1}"
10,"Comprehensive assessment on serverless architectures, API gateways, and cost optimization.","{""course_id"": 10, ""name"": ""Cloud Architecture Final"", ""passing_score"": 8.7}"
