document,metadata
"Attendance Policy: Guidelines on class participation, absences, and excused leaves.","{""name"": ""Attendance Policy"", ""valid_from"": ""2024-09-05T00:00:00Z"", ""timestamp"": ""2025-02-22T10:18:00Z""}"
"Code of Conduct: Behavioral expectations, disciplinary measures, and grievance procedures.","{""name"": ""Code of Conduct"", ""valid_from"": ""2024-09-12T00:00:00Z"", ""timestamp"": ""2025-04-03T17:42:00Z""}"
"Research Ethics: Procedures for ethical approval, data protection, and publication integrity.","{""name"": ""Research Ethics"", ""valid_from"": ""2024-09-19T00:00:00Z"", ""timestamp"": ""2025-03-10T09:33:00Z""}"
"Remote Learning Policy: Technical requirements, attendance verification, and evaluation methods.","{""name"": ""Remote Learning Policy"", ""valid_from"": ""2024-09-26T00:00:00Z"", ""timestamp"": ""2025-02-27T11:15:00Z""}"
"Laboratory Safety Rules: Equipment handling, protective gear, and emergency procedures.","{""name"": ""Lab Safety Rules"", ""valid_from"": ""2024-10-03T00:00:00Z"", ""timestamp"": ""2025-03-20T15:48:00Z""}"
"IT Usage Policy: Network security, acceptable use of institutional devices, and password management.","{""name"": ""IT Usage Policy"", ""valid_from"": ""2024-10-10T00:00:00Z"", ""timestamp"": ""2025-04-14T22:59:00Z""}"
"Counseling Services Info: Confidentiality, appointment booking, and emergency contacts.","{""name"": ""Counseling Services Info"", ""valid_from"": ""2024-10-17T00:00:00Z"", ""timestamp"": ""2025-03-05T08:11:00Z""}"
"Financial Aid Policy: Tuition payment plans, refund guidelines, and hardship requests.","{""name"": ""Financial Aid Policy"", ""valid_from"": ""2024-10-24T00:00:00Z"", ""timestamp"": ""2025-03-30T19:45:00Z""}"
"Plagiarism Policy: Turnitin thresholds, reporting mechanisms, and appeal process.","{""name"": ""Plagiarism Policy"", ""valid_from"": ""2024-10-31T00:00:00Z"", ""timestamp"": ""2025-04-05T16:22:00Z""}"
"Health and Safety Protocol: Campus medical support, sanitation measures, and emergency response plan.","{""name"": ""Health and Safety Protocol"", ""valid_from"": ""2024-11-07T00:00:00Z"", ""timestamp"": ""2025-04-25T07:36:00Z""}"
"Login failure on portal. Includes steps to reproduce and photo.","{""name"": ""Health and Safety Protocol"", ""valid_from"": ""2024-11-07T00:00:00Z"", ""timestamp"": ""2025-04-25T07:36:00Z""}"
