document,metadata
Review of Web Development: Clear explanations and engaging lectures.,"{""name"": ""Amelia"", ""surname"": ""Reed"", ""department"": ""Computer Science"", ""title"": ""Lecturer"", ""rating"": 5, ""course_name"": ""Web Development"", ""timestamp"": ""2025-03-09T12:04:00Z""}"
"Review of Introduction to AI: Good pacing, could add more examples.","{""name"": ""Benjamin"", ""surname"": ""Nguyen"", ""department"": ""Mathematics"", ""title"": ""Lecturer"", ""rating"": 4, ""course_name"": ""Introduction to AI"", ""timestamp"": ""2025-03-08T12:18:00Z""}"
"Review of Operating Systems: Challenging but fair, great office hours.","{""name"": ""Charlotte"", ""surname"": ""Khan"", ""department"": ""Mathematics"", ""title"": ""Associate Professor"", ""rating"": 4, ""course_name"": ""Operating Systems"", ""timestamp"": ""2025-03-24T16:26:00Z""}"
Review of Cloud Computing: Materials were helpful; assessments tough.,"{""name"": ""Daniel"", ""surname"": ""Silva"", ""department"": ""Computer Science"", ""title"": ""Assistant Professor"", ""rating"": 3, ""course_name"": ""Cloud Computing"", ""timestamp"": ""2025-02-08T00:14:00Z""}"
Review of Database Systems: Excellent feedback and supportive approach.,"{""name"": ""Elena"", ""surname"": ""Fischer"", ""department"": ""Literature"", ""title"": ""Professor"", ""rating"": 5, ""course_name"": ""Database Systems"", ""timestamp"": ""2025-03-26T15:52:00Z""}"
Review of Operating Systems: Needs better organization of slides.,"{""name"": ""Felix"", ""surname"": ""Rossi"", ""department"": ""Mathematics"", ""title"": ""Lecturer"", ""rating"": 2, ""course_name"": ""Operating Systems"", ""timestamp"": ""2025-03-10T23:36:00Z""}"
Review of Operating Systems: Inspires deep understanding of topics.,"{""name"": ""Georgia"", ""surname"": ""Kostas"", ""department"": ""Mathematics"", ""title"": ""Associate Professor"", ""rating"": 5, ""course_name"": ""Operating Systems"", ""timestamp"": ""2025-02-01T04:40:00Z""}"
Review of Database Systems: Practical labs were very useful.,"{""name"": ""Hector"", ""surname"": ""Novak"", ""department"": ""Mathematics"", ""title"": ""Lecturer"", ""rating"": 4, ""course_name"": ""Database Systems"", ""timestamp"": ""2025-04-13T04:58:00Z""}"
Review of Database Systems: Fair grading; would recommend.,"{""name"": ""Irene"", ""surname"": ""Petrov"", ""department"": ""Economics"", ""title"": ""Lecturer"", ""rating"": 3, ""course_name"": ""Database Systems"", ""timestamp"": ""2025-01-08T11:16:00Z""}"
Review of Machine Learning: Outstanding mentorship throughout term.,"{""name"": ""Jacob"", ""surname"": ""Kim"", ""department"": ""Chemistry"", ""title"": ""Professor"", ""rating"": 5, ""course_name"": ""Machine Learning"", ""timestamp"": ""2025-03-25T20:56:00Z""}"
